query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,986,0,False,42.954423378
2,ming,4,3,True,0.028330314999998052
3,ming,69,7,True,0.8832425410000013
4,ming,4,3,True,0.5927499040000015
5,ming,4,3,True,0.29840825899999857
6,ming,4,3,True,0.5828357589999982
7,ming,1203,13,True,11.135423992999996
8,ming,5,4,True,0.8487474850000041
9,ming,302,4,True,1.7916960179999961
10,ming,4,3,True,1.0031577249999941
11,ming,1072,11,True,6.070193631000009
12,ming,33,7,True,0.4222539649999959
13,ming,9801,10,True,6.922523947000002
14,ming,174,12,True,6.0192450780000115
15,ming,4,3,True,0.2781536890000069
16,ming,7132,12,True,10.596087021000002
17,ming,1072,11,True,4.247554183000005
18,ming,6,5,True,0.05025167000000863
19,ming,4,3,True,0.3023242809999971
20,ming,4,3,True,0.7691650810000112
21,ming,8122,0,False,39.047972947999995
22,ming,213,11,True,3.5869825119999916
23,ming,3,2,True,0.5884836539999867
24,ming,4,3,True,0.4436314080000159
25,ming,4,3,True,0.8348162819999914
26,ming,1000000,0,False,172.96129991600003
27,ming,7,5,True,3.678451750000022
28,ming,772,11,True,21.30422693500003
29,ming,1591,12,True,11.980497668999988
30,ming,4,3,True,2.213196509999989
31,ming,1773,14,True,5.556336217000023
32,ming,40,5,True,1.5289362789999927
33,ming,306,8,True,4.499687944000016
34,ming,4,3,True,1.1375661619999846
35,ming,1000000,0,False,363.15694562
36,ming,4,3,True,0.8889992880000364
37,ming,772,11,True,11.250289896000027
38,ming,900,8,True,5.271555845999956
39,ming,305,7,True,3.9793017069999905
40,ming,8,7,True,0.1603013370000781
41,ming,4,3,True,0.5316803260000142
42,ming,184,8,True,1.5832902060000151
43,ming,4,3,True,0.9305200960000093
44,ming,2292,11,True,4.657949525999925
45,ming,4,3,True,0.4820314690000487
46,ming,4,3,True,0.827137515000004
47,ming,954,0,False,43.974364820000005
48,ming,2,1,True,0.00468787300007989
49,ming,4,3,True,0.487151752999921
50,ming,5,4,True,0.44293815200001063
51,ming,4,3,True,0.4300351419999515
52,ming,19958,0,False,24.075597264999942
53,ming,4,3,True,0.43491716500000166
54,ming,4,3,True,0.2309392670000534
55,ming,605,8,True,1.2090654159999303
56,ming,10,9,True,0.060452506000046924
57,ming,1139,10,True,2.4528167309999844
58,ming,5,4,True,0.027607709999983854
59,ming,308,8,True,3.9476586920000045
60,ming,306,8,True,3.9037755399999696
61,ming,5,4,True,0.13146954599994842
62,ming,33,8,True,0.7603239820000454
63,ming,67,8,True,1.2179472619999387
64,ming,900,8,True,3.361939054000004
65,ming,1000000,0,False,78.54198123599997
66,ming,1072,11,True,2.9065180150000742
67,ming,371370,0,False,76.815782603
68,ming,2292,11,True,5.506362994000028
69,ming,4,3,True,0.2969328220000307
70,ming,20124,14,True,9.918717863999973
71,ming,4,3,True,0.776900360999889
72,ming,4,3,True,0.567950036999946
73,ming,4,3,True,0.7308326889999535
74,ming,14,13,True,0.7610697779998645
75,ming,900,8,True,2.2088943440001003
76,ming,7,5,True,1.3180585449999853
77,ming,1000000,0,False,83.58351313399999
78,ming,52,9,True,2.472698466000111
79,ming,2292,11,True,1.8008972210000138
80,ming,6,4,True,0.7392306699998699
81,ming,1000000,0,False,302.12256027600006
82,ming,4,3,True,0.9277506190001077
83,ming,4,3,True,0.8810031749999325
84,ming,4,3,True,0.03544110500001807
85,ming,76627,0,False,110.76803562299983
86,ming,32711,14,True,24.888528670999904
87,ming,7023,0,False,62.220002857000054
88,ming,383014,15,True,145.10802381100007
89,ming,7,5,True,2.2207418319999306
90,ming,24775,14,True,35.87733870500006
91,ming,977,13,True,4.955122348999794
92,ming,1000000,0,False,313.1623290540001
93,ming,6,4,True,1.109909018000053
94,ming,1072,11,True,11.729893830000037
95,ming,54,8,True,0.8953170949998821
96,ming,8338,0,False,39.018767862999994
97,ming,9464,0,False,49.30609564799988
98,ming,4,3,True,0.9071042170003238
99,ming,1307,7,True,5.601000110999848
100,ming,4,3,True,1.090111418000106
