query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,954,0,False,36.302186745
2,ming,4,3,True,0.024925566000000288
3,ming,8,7,True,0.6193284969999979
4,ming,4,3,True,0.5644447299999982
5,ming,4,3,True,0.2707573530000005
6,ming,4,3,True,0.6002742469999944
7,ming,7296,13,True,13.944682483000001
8,ming,5,4,True,0.8652446649999987
9,ming,302,4,True,1.720971861999999
10,ming,4,3,True,0.7203462509999952
11,ming,1510,11,True,4.651502945000004
12,ming,8,7,True,0.23286598700001093
13,ming,17236,10,True,18.69969296500001
14,ming,6168,12,True,5.672111332
15,ming,4,3,True,0.5443376089999958
16,ming,685,12,True,4.172886508000005
17,ming,1510,11,True,7.372228778999997
18,ming,9,5,True,0.5532875159999975
19,ming,4,3,True,0.5777658389999942
20,ming,4,3,True,0.7711176530000046
21,ming,1000000,0,False,468.84599635200004
22,ming,25,12,True,1.5923596530000168
23,ming,3,2,True,0.4216139159999557
24,ming,4,3,True,0.584022463999986
25,ming,4,3,True,0.5597773039999083
26,ming,1000000,0,False,71.14863562999994
27,ming,6,5,True,1.2430055290000155
28,ming,3469,11,True,9.011446116000002
29,ming,2035,12,True,9.040895183999965
30,ming,4,3,True,0.7444660400000203
31,ming,304,14,True,1.5517247279999538
32,ming,6,5,True,0.4322571390000576
33,ming,19,8,True,2.5091329829999722
34,ming,4,3,True,0.7315422249999983
35,ming,1000000,0,False,2178.3481110069997
36,ming,4,3,True,0.36888031500029683
37,ming,2266,11,True,5.291760738999983
38,ming,19,8,True,1.6089266540002427
39,ming,9,7,True,1.3870297630001005
40,ming,13,7,True,0.0921599889998106
41,ming,4,3,True,0.21111936699981015
42,ming,14,8,True,0.2851406219997443
43,ming,4,3,True,0.3684340280001379
44,ming,1510,11,True,2.0540115280000464
45,ming,4,3,True,0.21274851399994077
46,ming,4,3,True,0.34609588500006794
47,ming,986,0,False,26.395529301999886
48,ming,2,1,True,0.003238031999899249
49,ming,4,3,True,0.20656968000002962
50,ming,5,4,True,0.18037533300002906
51,ming,4,3,True,0.1902265520002402
52,ming,1000000,0,False,305.5091004580004
53,ming,4,3,True,0.3788696810001966
54,ming,4,3,True,0.20734132500001579
55,ming,608,8,True,2.5576742339999328
56,ming,2884,9,True,2.52402154299989
57,ming,355,9,True,0.7327460900000915
58,ming,5,4,True,0.014286460999755946
59,ming,19,8,True,1.5810785400003624
60,ming,19,8,True,1.5520561439998346
61,ming,5,4,True,0.05318332200022269
62,ming,21,8,True,0.6696692410000651
63,ming,74,8,True,0.8867974650001997
64,ming,608,8,True,1.2755668419999893
65,ming,1000000,0,False,97.28762532099972
66,ming,1510,11,True,4.393930887999886
67,ming,1000000,0,False,83.07900094600018
68,ming,2428,11,True,6.288427650999893
69,ming,4,3,True,0.22963737500003845
70,ming,2678,14,True,3.8255345099996703
71,ming,4,3,True,0.47017921800033946
72,ming,4,3,True,0.35564608799995767
73,ming,4,3,True,0.43811107100009394
74,ming,15,14,True,0.41492572200013456
75,ming,19,8,True,1.5491327879999517
76,ming,6,5,True,0.7770020299999487
77,ming,902307,0,False,208.12891958699993
78,ming,850,9,True,2.3693929209998714
79,ming,1802,11,True,0.6752891199998885
80,ming,5,4,True,0.42934516100012843
81,ming,1000000,0,False,672.461255574
82,ming,4,3,True,0.39210409299994353
83,ming,4,3,True,0.3594493059999877
84,ming,4,3,True,0.024419119000413048
85,ming,1000000,0,False,333.7515005089999
86,ming,4394,14,True,8.811411552000209
87,ming,1733,0,False,28.03405545900023
88,ming,1000000,0,False,322.99418910700024
89,ming,8,5,True,0.9577199369996379
90,ming,35720,14,True,9.022785889999795
91,ming,33,13,True,2.3115651400003117
92,ming,1000000,0,False,358.9780047109998
93,ming,5,4,True,0.5042673770003603
94,ming,2263,11,True,4.94179566099956
95,ming,10,9,True,0.24394067299999733
96,ming,1000000,0,False,145.27458444900003
97,ming,1000000,0,False,317.0750780540002
98,ming,4,3,True,0.3653063609999663
99,ming,1267,7,True,1.6477392569995573
100,ming,4,3,True,0.47053280799991626
