query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,950,0,False,74.12044505099999
2,ming,4,3,True,0.02865796800000453
3,ming,8,7,True,1.294858044999998
4,ming,4,3,True,0.9829033710000061
5,ming,4,3,True,0.41391942299999585
6,ming,4,3,True,0.9478334930000045
7,ming,309,13,True,11.798767326999993
8,ming,5,4,True,1.3771436500000078
9,ming,302,4,True,2.412231645999995
10,ming,4,3,True,1.1328703499999904
11,ming,1073,11,True,8.186261041000009
12,ming,8,7,True,0.328308516000007
13,ming,1350,10,True,4.224133035999998
14,ming,220,12,True,5.553090106000013
15,ming,4,3,True,0.8502743140000035
16,ming,891,12,True,4.7497053330000085
17,ming,1073,11,True,6.643844450000003
18,ming,6,5,True,0.04958684000001767
19,ming,4,3,True,0.517351495000014
20,ming,4,3,True,1.1098764480000227
21,ming,125212,0,False,87.066666382
22,ming,153,12,True,3.6957054549999953
23,ming,3,2,True,0.637677970999988
24,ming,4,3,True,0.5072963730000026
25,ming,4,3,True,0.8273798060000104
26,ming,1000000,0,False,166.09902175000002
27,ming,6,5,True,0.7239976779999893
28,ming,1073,11,True,6.588492099000007
29,ming,67,12,True,1.9870170260000464
30,ming,4,3,True,0.562348060999966
31,ming,1840,14,True,6.540038014000004
32,ming,6,5,True,0.08523354000004701
33,ming,9,8,True,4.31873750799997
34,ming,4,3,True,1.1064617839999755
35,ming,1000000,0,False,292.06501630500003
36,ming,4,3,True,0.8981724020000001
37,ming,1073,11,True,3.896496178999996
38,ming,11,8,True,3.8940126310000096
39,ming,9,7,True,3.5300070340000502
40,ming,8,7,True,0.9632446979999258
41,ming,4,3,True,0.5028792090000707
42,ming,111,8,True,1.4750072190000765
43,ming,4,3,True,0.9743795730000784
44,ming,1073,11,True,1.4808702620000531
45,ming,4,3,True,0.544019775000038
46,ming,4,3,True,0.9709527490000482
47,ming,878,0,False,42.888097698000024
48,ming,2,1,True,0.004664400000024216
49,ming,4,3,True,0.5233222049999995
50,ming,5,4,True,0.4246573679999983
51,ming,4,3,True,0.545875733999992
52,ming,13486,0,False,59.84798449499999
53,ming,4,3,True,0.422003989000018
54,ming,4,3,True,0.28936762000000726
55,ming,9,8,True,0.6706589809999741
56,ming,613,9,True,1.1006300819999524
57,ming,12514,10,True,4.712899089999951
58,ming,80,4,True,0.17669615099998737
59,ming,9,8,True,3.958776647000036
60,ming,9,8,True,0.6471016759999202
61,ming,5,4,True,0.12985512700004165
62,ming,9,8,True,0.4589381069999945
63,ming,10758,8,True,2.8037894349999988
64,ming,9,8,True,3.843607067999983
65,ming,1000000,0,False,58.181202048000046
66,ming,1073,11,True,8.784085581
67,ming,809546,0,False,111.64328147499987
68,ming,1073,11,True,7.366796663999821
69,ming,4,3,True,0.5813507519999348
70,ming,286,14,True,4.900314417000118
71,ming,4,3,True,1.1117651850001948
72,ming,4,3,True,0.955227745000002
73,ming,4,3,True,1.105123722999906
74,ming,349263,13,True,70.847520605
75,ming,9,8,True,5.420159364000028
76,ming,7,5,True,1.9786841180000465
77,ming,552245,0,False,228.2327751050002
78,ming,1117,9,True,3.5039492170001267
79,ming,1073,11,True,10.728612626999848
80,ming,5,4,True,1.109282753999878
81,ming,68604,15,True,17.956014850999964
82,ming,4,3,True,0.9853961759999947
83,ming,4,3,True,0.9321714739999152
84,ming,4,3,True,0.10887569599981362
85,ming,2234,0,False,44.6316689570001
86,ming,35,14,True,10.561037942999974
87,ming,12637,0,False,50.09368833000008
88,ming,1000000,0,False,175.94050259699998
89,ming,6,5,True,2.036577738999995
90,ming,13217,14,True,7.9297607199998765
91,ming,1000000,0,False,111.5047503589999
92,ming,1000000,0,False,379.5802276469999
93,ming,5,4,True,1.198369122999793
94,ming,1073,11,True,12.416649589000372
95,ming,14,8,True,0.5551908559996264
96,ming,7738,0,False,51.616013445000135
97,ming,74398,0,False,111.25223273799975
98,ming,4,3,True,1.0154587820002234
99,ming,116,7,True,5.4918034510001235
100,ming,4,3,True,1.199623925999731
