goal	rule	score
borders(V, C)	borders(luxembourg, belgium)	1
borders(C, L)	borders(chad, sudan)	1
borders(brazil, L)	borders(brazil, peru)	1
cityIn(Region, nicaragua)	cityIn(leon, nicaragua)	1
borders(Continent, C)	borders(laos, vietnam)	1
borders(R, C)	borders(china, kazakhstan)	1
memberOf(slovakia, Continent)	memberOf(slovakia, eu)	1
borders(Continent, portugal)	borders(spain, portugal)	1
borders(guinea, C)	borders(guinea, sierra_leone)	1
borders(O, iran)	borders(armenia, iran)	1
officialLanguage(Y, C)	officialLanguage(croatia, croatian)	1
sharesBorder(tajikistan, uzbekistan)	sharesBorder(X, Y) :- borders(X, Y)	1
officialLanguage(Region, C)	officialLanguage(switzerland, french)	1
cityIn(porto_novo, benin)	cityIn(porto_novo, benin)	1
borders(congo, C)	borders(congo, gabon)	1
locatedIn(O, africa)	locatedIn(central_african_republic, africa)	1
borders(kyrgyzstan, V)	borders(kyrgyzstan, uzbekistan)	1
borders(china, V)	borders(china, pakistan)	1
memberOf(City, C)	memberOf(italy, eu)	1
borders(C, Z)	borders(china, myanmar)	1
borders(C, Country)	borders(sudan, libya)	1
borders(C, W)	borders(north_macedonia, serbia)	1
borders(W, C)	borders(greece, bulgaria)	1
borders(Continent, italy)	borders(france, italy)	1
borders(C, V)	borders(burkina_faso, cote_divoire)	1
sharesBorder(djibouti, V)	sharesBorder(X, Y) :- borders(Y, X)	1
borders(City, C)	borders(central_african_republic, sudan)	1
borders(C, Continent)	borders(south_africa, namibia)	1
borders(R, poland)	borders(lithuania, poland)	1
sharesBorder(L, estonia)	sharesBorder(X, Y) :- borders(Y, X)	1
memberOf(C, g20)	memberOf(malaysia, g20)	1
currencyOf(R, C)	currencyOf(ukraine, hryvnia)	1
capitalOf(belarus, V)	capitalOf(belarus, minsk)	1
borders(L, china)	borders(india, china)	1
locatedIn(W, europe)	locatedIn(france, europe)	1
currencyOf(L, jamaican_dollar)	currencyOf(jamaica, jamaican_dollar)	1
borders(Continent, C)	borders(lithuania, poland)	1
borders(Country, C)	borders(djibouti, somalia)	1
borders(C, Y)	borders(north_macedonia, kosovo)	1
borders(Z, C)	borders(russia, norway)	1
borders(brazil, Continent)	borders(brazil, suriname)	1
borders(Continent, C)	borders(estonia, latvia)	1
borders(poland, Continent)	borders(poland, germany)	1
locatedIn(Region, C)	locatedIn(timor_leste, asia)	1
borders(C, Continent)	borders(armenia, georgia)	1
borders(angola, Continent)	borders(angola, congo)	1
borders(rwanda, Country)	borders(rwanda, dr_congo)	1
borders(W, C)	borders(south_africa, lesotho)	1
borders(C, V)	borders(iraq, jordan)	1
officialLanguage(W, fijian)	officialLanguage(fiji, fijian)	1
borders(C, Country)	borders(burkina_faso, niger)	1
locatedIn(Continent, middle_east)	locatedIn(turkey, middle_east)	1
borders(L, mali)	borders(cote_divoire, mali)	1
sharesBorder(Region, nepal)	sharesBorder(X, Y) :- borders(X, Y)	1
borders(Z, C)	borders(egypt, sudan)	1
borders(Region, C)	borders(libya, algeria)	1
currencyOf(L, ringgit)	currencyOf(malaysia, ringgit)	1
officialLanguage(W, english)	officialLanguage(singapore, english)	1
locatedIn(O, C)	locatedIn(algeria, africa)	1
borders(guinea, V)	borders(guinea, liberia)	1
locatedIn(W, Org)	locatedIn(sierra_leone, africa)	1
borders(C, V)	borders(lebanon, israel)	1
officialLanguage(W, spanish)	officialLanguage(el_salvador, spanish)	1
borders(turkey, City)	borders(turkey, greece)	1
officialLanguage(C, dhivehi)	officialLanguage(maldives, dhivehi)	1
currencyOf(Neighbor, C)	currencyOf(benin, cfa_franc)	1
officialLanguage(C, City)	officialLanguage(ghana, english)	1
borders(slovakia, V)	borders(slovakia, austria)	1
