goal	rule	score
p0(X4, X0, X1)	p0(a86, a73, a15)	1
p5(X1)	p5(a49)	1
p8(a27)	p8(X6) :- p2(X6)	1
p0(X1, X2, X0)	p0(a9, a41, a0)	1
p8(X9)	p8(a43)	1
p8(X8)	p8(a88)	1
p9(X2, X1, X0)	p9(a63, a13, a59)	1
p0(X7, X0, X1)	p0(a0, a37, a1)	1
p0(X0, X8, X1)	p0(a70, a60, a0)	1
p4(X0)	p4(a15)	1
p5(X6)	p5(a49)	1
p0(X7, X0, X1)	p0(a69, a99, a63)	1
p0(X0, X4, X1)	p0(a79, a32, a1)	1
p0(X1, X2, X0)	p0(a10, a13, a48)	1
p8(a0)	p8(X9) :- p2(X9), p5(X9)	1
p2(X5)	p2(a67)	1
p2(a0)	p2(a0)	1
p4(a27)	p4(X8) :- p3(X8, X5), p8(X5), p5(X5)	1
p9(X2, X0, X1)	p9(a96, a18, a1)	1
p2(X4)	p2(a41)	1
p8(X4)	p8(a12)	1
p7(a26)	p7(a26)	1
p7(X9)	p7(a1)	1
p5(X6)	p5(a38)	1
p0(X8, X0, X1)	p0(a9, a41, a0)	1
p9(X2, X1, X0)	p9(a10, a92, a13)	1
p7(X3)	p7(a27)	1
p8(X8)	p8(X9) :- p2(X9), p5(X9)	1
p5(X3)	p5(a16)	1
p4(X3)	p4(X0) :- p4(X0), p2(X0)	1
p0(X0, X5, X1)	p0(a10, a13, a48)	1
p2(X3)	p2(a18)	1
p2(X3)	p2(a41)	1
p0(X8, X0, X1)	p0(a10, a13, a48)	1
p0(X8, X0, X1)	p0(a70, a60, a0)	1
p2(X2)	p2(a6)	1
p0(X1, X0, X2)	p0(a58, a18, a20)	1
p9(X2, X1, X0)	p9(a28, a16, a5)	1
p6(X1, X0)	p6(a71, a12)	1
p0(X0, X6, X1)	p0(a13, a28, a9)	1
p0(X3, X0, X1)	p0(a58, a18, a20)	1
p0(X0, a65, X1)	p0(a85, a65, a6)	1
p8(X5)	p8(a10)	1
p9(X2, X0, X1)	p9(a47, a16, a51)	1
p0(X0, X6, a34)	p0(a10, a0, a34)	1
p5(a34)	p5(X4) :- p7(X4)	1
p4(X9)	p4(a10)	1
p8(a19)	p8(a19)	1
p0(X5, X0, X1)	p0(a1, a2, a0)	1
p2(X5)	p2(a14)	1
p2(X8)	p2(a62)	1
p2(a0)	p2(X4) :- p7(X4)	1
p0(X2, X1, X0)	p0(a29, a14, a81)	1
p8(X0)	p8(X9) :- p2(X9), p5(X9)	1
p8(a93)	p8(X6) :- p2(X6)	1
p8(X6)	p8(a18)	1
p0(X6, X0, X1)	p0(a1, a4, a87)	1
p0(X2, X1, X0)	p0(a69, a11, a95)	1
p8(a56)	p8(a56)	1
p8(a16)	p8(X9) :- p2(X9), p5(X9)	1
p0(X5, X0, X1)	p0(a19, a72, a1)	1
p2(X3)	p2(a63)	1
p8(X1)	p8(a30)	1
p0(X1, X0, a37)	p0(a89, a18, a37)	1
p5(X0)	p5(a92)	1
p0(X0, X1, X2)	p0(a29, a14, a81)	1
p0(a9, X0, X1)	p0(a9, a41, a0)	1
p2(X4)	p2(a10)	1
p0(X5, X0, X1)	p0(a10, a0, a34)	1
p2(X0)	p2(a53)	1
p0(X1, X0, a1)	p0(a79, a32, a1)	1
p8(X5)	p8(a14)	1
p7(X3)	p7(a8)	1
p0(X0, X9, X1)	p0(a0, a4, a11)	1
p0(X6, X0, X1)	p0(a19, a72, a1)	1
p4(X0)	p4(a14)	1
p4(X3)	p4(a12)	1
p8(X9)	p8(X6) :- p2(X6)	1
p5(X5)	p5(a13)	1
p7(X2)	p7(a47)	1
p3(X0, X1)	p3(a27, a0)	1
p5(X1)	p5(a33)	1
p3(X0, a43)	p3(a12, a43)	1
p5(X5)	p5(a94)	1
p0(X1, X0, X2)	p0(a33, a1, a44)	1
p8(X1)	p8(a56)	1
p9(X2, X1, X0)	p9(a77, a75, a0)	1
p6(a27, X0)	p6(X6, a46) :- p2(X6), p3(X6, a0)	1
p2(X4)	p2(a92)	1
p2(X3)	p2(a92)	1
p2(X5)	p2(a0)	1
p7(X0)	p7(a3)	1
p0(X0, X2, X1)	p0(a58, a18, a20)	1
p0(X0, X3, a1)	p0(a19, a72, a1)	1
p5(X3)	p5(a99)	1
p0(X0, X7, a0)	p0(a70, a60, a0)	1
p3(X9, X0)	p3(a12, a43)	1
p6(X1, X0)	p6(a54, a0)	1
