p0(a86, a74).
p0(a90, a55).
p5(a41, a41).
p0(a73, a73).
p5(a11, a37).
p5(a42, a42).
p0(a44, a44).
p0(a15, a15).
p0(a12, a1).
p0(a26, a0).
p5(a48, a48).
p0(a25, a25).
p5(a14, a46).
p5(a11, a11).
p0(a12, a12).
p0(a5, a27).
p7(a22).
p0(a6, a11).
p7(a56).
p5(a60, a24).
p0(a11, a11).
p0(a72, a72).
p0(a16, a16).
p0(a10, a11).
p5(a24, a24).
p5(a16, a16).
p0(a43, a43).
p0(a19, a51).
p0(a0, a11).
p0(a99, a11).
p0(a27, a27).
p5(a1, a91).
p5(a1, a12).
p5(a83, a0).
p5(a4, a96).
p5(a0, a86).
p5(a11, a6).
p7(a61).
p0(a19, a39).
p5(a0, a37).
p5(a12, a20).
p0(a18, a18).
p0(a76, a76).
p5(a73, a73).
p0(a10, a20).
p0(a0, a0).
p0(a30, a30).
p5(a27, a5).
p5(a26, a26).
p5(a56, a56).
p5(a14, a14).
p5(a27, a0).
p5(a24, a5).
p0(a70, a76).
p6(a17, a17).
p5(a18, a16).
p5(a38, a38).
p7(a3).
p0(a83, a83).
p0(a47, a47).
p5(a27, a27).
p5(a1, a1).
p5(a44, a0).
p5(a11, a0).
p5(a2, a40).
p5(a15, a15).
p0(a13, a13).
p0(a21, a21).
p0(a2, a2).
p1(a99, a22, a30, a42, a83).
p7(a11).
p0(a24, a24).
p5(a38, a13).
p5(a56, a10).
p5(a38, a16).
p7(a55).
p5(a7, a24).
p0(a96, a4).
p5(a59, a98).
p5(a38, a37).
p5(a12, a13).
p5(a60, a60).
p0(a15, a48).
p5(a2, a2).
p6(a17, a80).
p5(a59, a59).
p5(a35, a26).
p0(a78, a78).
p0(a57, a57).
p5(a35, a35).
p5(a11, a99).
p5(a7, a7).
p7(a68).
p5(a43, a43).
p0(a17, a29).
p5(a73, a10).
p7(a31).
p0(a32, a32).
p0(a29, a2).
p0(a37, a11).
p5(a29, a29).
p0(a7, a7).
p7(a2).
p5(a5, a5).
p5(a46, a46).
p0(a60, a60).
p5(a20, a20).
p5(a11, a10).
p7(a43).
p0(a92, a92).
p5(a2, a29).
p0(a74, a74).
p5(a36, a36).
p0(a56, a56).
p0(a9, a12).
p5(a13, a13).
p5(a12, a9).
p0(a61, a0).
p5(a48, a15).
p5(a36, a42).
p0(a0, a14).
p0(a34, a34).
p7(a48).
p7(a39).
p0(a26, a26).
p0(a17, a17).
p5(a89, a89).
p0(a4, a4).
p5(a50, a50).
p5(a44, a44).
p0(a20, a16).
p5(a51, a19).
p0(a48, a1).
p5(a17, a89).
p5(a10, a24).
p0(a3, a3).
p5(a93, a93).
p7(a32).
p0(a48, a48).
p6(a1, a1).
p0(a8, a8).
p5(a39, a39).
p5(a8, a8).
p5(a47, a47).
p0(a41, a41).
p5(a0, a61).
p0(a26, a35).
p5(a78, a31).
p5(a1, a2).
p0(a14, a14).
p6(a88, a88).
p7(a14).
p0(a90, a90).
p5(a15, a19).
p7(a6).
p6(a55, a55).
p5(a90, a90).
p7(a91).
p5(a64, a39).
p5(a46, a45).
p0(a10, a10).
p6(a35, a35).
p0(a31, a78).
p7(a42).
p0(a1, a1).
p5(a51, a51).
p0(a19, a15).
p5(a92, a92).
p0(a98, a59).
p0(a50, a50).
p5(a10, a10).
p5(a76, a70).
p5(a17, a13).
p5(a4, a22).
p6(a93, a93).
p5(a1, a48).
p5(a64, a64).
p5(a3, a3).
p5(a74, a74).
p0(a33, a33).
p5(a16, a20).
p0(a20, a20).
p0(a59, a59).
p5(a34, a34).
p5(a18, a38).
p5(a83, a83).
p5(a55, a90).
p5(a2, a84).
p5(a3, a16).
p5(a29, a17).
p5(a22, a22).
p0(a93, a93).
p5(a14, a0).
p0(a29, a29).
p0(a5, a24).
p5(a39, a19).
p5(a0, a63).
p5(a4, a4).
p5(a20, a10).
p0(a39, a39).
p0(a22, a22).
p0(a20, a12).
p0(a36, a36).
p5(a21, a21).
p0(a93, a12).
p0(a42, a42).
p7(a33).
p0(a64, a64).
p5(a12, a12).
p0(a79, a25).
p0(a10, a56).
p5(a72, a72).
p6(a3, a3).
p5(a38, a43).
p5(a25, a25).
p5(a0, a26).
p5(a12, a93).
p5(a15, a0).
p7(a24).
p5(a27, a15).
p0(a2, a1).
p5(a26, a66).
p0(a24, a10).
p5(a30, a30).
p5(a76, a76).
p0(a89, a17).
p5(a32, a38).
p0(a13, a38).
p6(a0, a0).
p5(a74, a86).
p5(a33, a33).
p0(a13, a17).
p0(a58, a58).
p0(a89, a89).
p7(a26).
p7(a60).
p0(a51, a51).
p0(a39, a64).
p0(a16, a38).
p5(a10, a1).
p0(a35, a35).
p7(a76).
p0(a55, a55).
p5(a58, a58).
p0(a38, a38).
p0(a5, a5).
p5(a57, a57).
p7(a97).
p5(a55, a55).
p0(a63, a0).
p0(a0, a83).
p0(a84, a2).
p5(a17, a17).
p0(a46, a46).
p5(a25, a79).
p5(a18, a18).
p5(a32, a32).
p5(a78, a78).
p0(a0, a44).
p7(a20).
p5(a14, a51).
