query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,52173,7,True,27.045239574999997
2,ming,3,2,True,0.014373922999993738
3,ming,4,3,True,0.01213247700000153
4,ming,12438,7,True,6.052552377000005
5,ming,2,1,True,0.003771790000001829
6,ming,4,3,True,0.07892542799999802
7,ming,2,1,True,0.07068167100000267
8,ming,7,6,True,0.12213393700000097
9,ming,4,3,True,0.03134793000000258
10,ming,3,2,True,0.0085167899999945
11,ming,1000000,0,False,216.543771475
12,ming,1000000,0,False,101.52036487899997
13,ming,20,15,True,0.06770224400003144
14,ming,6,3,True,0.02764230000002499
15,ming,5885,11,True,3.5592732540000043
16,ming,2,1,True,0.0031124550000072304
17,ming,16970,13,True,14.862477524999974
18,ming,4661,4,True,3.3511366620000445
19,ming,20,15,True,0.004164739999964695
20,ming,218451,6,True,43.93780154799998
21,ming,2,1,True,0.029686307999952533
22,ming,2,1,True,0.003156252999986009
23,ming,2,1,True,0.027587768999978834
24,ming,2,1,True,0.00314134899997498
25,ming,2,1,True,0.003062222999972164
26,ming,2,1,True,0.0045789129999889155
27,ming,1000000,0,False,383.756671737
28,ming,397334,8,True,253.13721706299998
29,ming,2,1,True,0.01927888500017616
30,ming,3,2,True,0.030657635999887134
31,ming,2,1,True,0.022335103999921557
32,ming,3,2,True,0.03077460299982704
33,ming,2,1,True,0.01915151500020329
34,ming,3,2,True,0.006537643000001481
35,ming,7,6,True,0.043116173000044
36,ming,3,2,True,0.057637502000034146
37,ming,2,1,True,0.0031560149998313136
38,ming,4,3,True,0.008989216999907512
39,ming,3,2,True,0.03057523300003595
40,ming,5,4,True,0.017694749999918713
41,ming,3,2,True,0.00010526999994908692
42,ming,2,1,True,0.004494272000101773
43,ming,2,1,True,0.0030346889998327242
44,ming,19530,2,True,8.266000389999817
45,ming,3,2,True,0.004249864000030357
46,ming,9960,5,True,4.456073389000039
47,ming,1000000,0,False,97.30036872799997
48,ming,3,2,True,0.010935866000181704
49,ming,435652,5,True,90.35432189699986
50,ming,2,1,True,0.005118717999948785
51,ming,10,9,True,0.06576638399997137
52,ming,2,1,True,0.0031796869998288457
53,ming,2,1,True,0.003114936000201851
54,ming,1000000,0,False,363.83949000200005
55,ming,2,1,True,0.003188631000057285
56,ming,18659,15,True,9.977593448999869
57,ming,49363,8,True,36.16756004800004
58,ming,2,1,True,0.005094457000041075
59,ming,3,2,True,0.004257364000068264
60,ming,3,2,True,0.03093384299995705
61,ming,2,1,True,0.027311748999863994
62,ming,2,1,True,0.003112175999831379
63,ming,3,2,True,0.005492197999956261
64,ming,6,3,True,0.05068895299996257
65,ming,2,1,True,0.0030484940000405913
66,ming,3,2,True,0.030912264000107825
67,ming,2,1,True,0.027172328999995443
68,ming,6,5,True,0.018125437999970018
69,ming,2,1,True,0.019089237999878605
70,ming,1000000,0,False,127.11068464899995
71,ming,7122,14,True,2.8788435720000507
72,ming,5,4,True,0.018408330000056594
73,ming,2,1,True,0.0037771140000586456
74,ming,2227,14,True,1.5064354500000263
75,ming,5,4,True,0.0959714250000161
76,ming,5,4,True,0.01619140699995114
77,ming,32366,3,True,13.174904253000022
78,ming,3,2,True,0.031192222000072434
79,ming,7849,6,True,6.0293378779999784
80,ming,12985,10,True,6.704790493000019
81,ming,2,1,True,0.019675606999953743
82,ming,2,1,True,0.019611365999935515
83,ming,3,2,True,0.004127167999968151
84,ming,2,1,True,0.022026079999932335
85,ming,2,1,True,0.02147202500009371
86,ming,1101,7,True,1.147001272999887
87,ming,145,11,True,0.26504784999997355
88,ming,3,2,True,0.03126630100018701
89,ming,7,6,True,0.038714968000022054
90,ming,19531,3,True,6.402282136999929
91,ming,6,5,True,0.01465779900013331
92,ming,2,1,True,0.019133022999994864
93,ming,558204,7,True,60.017514683999934
94,ming,2,1,True,0.021467679000124917
95,ming,505245,5,True,242.14748142699978
96,ming,2,1,True,0.0031399699996654817
97,ming,8,7,True,0.030113185000118392
98,ming,6,3,True,0.04937981399962155
99,ming,2,1,True,0.004389851000269118
100,ming,148268,7,True,58.33356268600028
