query,std reasoner,std nodes explored,std min depth,success,time
1,std,1000000,0,False,71.653923269
2,std,6,5,True,0.0012243219999987787
3,std,606634,3,True,40.53734063899999
4,std,8,7,True,0.0020331070000025875
5,std,2,1,True,0.0003588649999954896
6,std,7,6,True,0.0015592270000013286
7,std,2,1,True,0.0004707760000002281
8,std,367791,14,True,29.06447581399999
9,std,4,3,True,0.0010195650000071055
10,std,367782,14,True,26.67581696900001
11,std,1000000,0,False,74.899981774
12,std,8,7,True,0.001897429000024431
13,std,408014,2,True,26.340526839000006
14,std,4,3,True,0.0011047840000060205
15,std,43659,11,True,3.8536867830000006
16,std,2,1,True,0.00046331700002610887
17,std,694473,10,True,50.37148174099997
18,std,1000000,0,False,64.39119794800001
19,std,408014,2,True,26.587911651000013
20,std,1000000,0,False,86.329562254
21,std,2,1,True,0.0005194889999984298
22,std,2,1,True,0.00040331600001763945
23,std,2,1,True,0.00046274200002471844
24,std,2,1,True,0.0003958510000074966
25,std,2,1,True,0.0003509320000034677
26,std,2,1,True,0.000402027999996335
27,std,3,2,True,0.0006445710000093641
28,std,142480,8,True,8.864249460999986
29,std,2,1,True,0.0003230180000173277
30,std,5,4,True,0.0010754579999456837
31,std,2,1,True,0.0003885630000013407
32,std,5,4,True,0.0006819380000706587
33,std,2,1,True,0.00030065600003581494
34,std,6,5,True,0.0012043080000694317
35,std,135388,6,True,10.865520370000013
36,std,5,4,True,0.001072084999918843
37,std,2,1,True,0.0004212359999655746
38,std,4,3,True,0.0009310570000025109
39,std,5,4,True,0.000632924000001367
40,std,5,4,True,0.0012551790000543406
41,std,5,4,True,8.722799998395203e-05
42,std,2,1,True,0.0004074400000035894
43,std,2,1,True,0.0004030060000559388
44,std,3,2,True,0.0006092309999985446
45,std,3,2,True,0.0006176140000206942
46,std,7,5,True,0.00164296100001593
47,std,1000000,0,False,62.53674415699993
48,std,3,2,True,0.0006331889999273699
49,std,6,5,True,0.0016288980000354059
50,std,2,1,True,0.00038618600001427694
51,std,2122,9,True,0.20229561099995408
52,std,2,1,True,0.00043677499991190416
53,std,2,1,True,0.0004284130000087316
54,std,1000000,0,False,71.85671806999994
55,std,2,1,True,0.0004385089999914271
56,std,1000000,0,False,69.91030547800005
57,std,9,8,True,0.0021033499999703054
58,std,2,1,True,0.0002904649999209141
59,std,3,2,True,0.0006051120000165611
60,std,5,4,True,0.0009787410000399177
61,std,2,1,True,0.00044512400006624375
62,std,2,1,True,0.0003908190000174727
63,std,3,2,True,0.0004792029999407532
64,std,4,3,True,0.0010573969999541077
65,std,2,1,True,0.00040698199995858886
66,std,5,4,True,0.0006529119999640898
67,std,2,1,True,0.00046992399995815504
68,std,7,5,True,0.0018403000000262182
69,std,2,1,True,0.00028110300002026634
70,std,5,3,True,0.0012169889999995576
71,std,408014,2,True,26.97354398699997
72,std,77375,14,True,6.331892266999944
73,std,2,1,True,0.00046170399991751765
74,std,72943,14,True,6.003678607000097
75,std,147307,8,True,11.588220309999997
76,std,780643,14,True,50.94414863999998
77,std,239928,3,True,16.709878462999995
78,std,5,4,True,0.0011235800000122254
79,std,8,6,True,0.0020541940000384784
80,std,14,13,True,0.0030300739999802317
81,std,2,1,True,0.00029291400005604373
82,std,2,1,True,0.00025129699997705757
83,std,3,2,True,0.0006614119999994728
84,std,2,1,True,0.0003518390000181171
85,std,2,1,True,0.013577703999999358
86,std,226671,7,True,16.989261559000056
87,std,1000000,0,False,65.64712639899994
88,std,5,4,True,0.0011199099999430473
89,std,28052,7,True,2.7277448800000457
90,std,4,3,True,0.0009533390000342479
91,std,1000000,0,False,69.35279460200002
92,std,2,1,True,0.00041185899999618414
93,std,12,9,True,0.003165153000054488
94,std,2,1,True,0.00041436100002556486
95,std,6,5,True,0.0012499409999691125
96,std,2,1,True,0.0004148279999753868
97,std,10,7,True,0.0026197060000185957
98,std,4,3,True,0.001016973999981019
99,std,2,1,True,0.0003405930000326407
100,std,77422,14,True,6.671325515999911
